FULL_NAME,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PTS,REB,STL,TOV,FIRST_NAME,LAST_NAME,FULL_NAME_LOWER,FIRST_NAME_LOWER,LAST_NAME_LOWER,IS_ACTIVE
Deni Avdija,78,20,208,144,46,0.34,301,128,0.4,61,45,0.8,46,14,1095,25,113,346,233,31,41,Deni,Avdija,deni avdija,deni,avdija,TRUE
Anthony Avent,43,30,152,0,0,0,302,120,0.37,76,52,0.67,53,24,1012,88,121,293,240,25,63,Anthony,Avent,anthony avent,anthony,avent,FALSE
William Avery,66,2,25,52,13,0.24,138,46,0.33,30,22,0.71,47,0,401,6,42,126,31,11,35,William,Avery,william avery,william,avery,FALSE
Joel Ayayi,4,0,2,0,0,0,6,0,0.17,0,0,0,7,0,20,0,0,2,3,0,0,Joel,Ayayi,joel ayayi,joel,ayayi,FALSE
Gustavo Ayon,49,18,108,0,0,0,139,75,0.55,37,17,0.4,38,9,597,50,76,168,158,24,34,Gustavo,Ayon,gustavo ayon,gustavo,ayon,FALSE
Jeff Ayres,16,11,73,1,0,0.08,86,48,0.54,24,19,0.8,40,2,387,33,60,115,105,6,22,Jeff,Ayres,jeff ayres,jeff,ayres,FALSE
Deandre Ayton,77,50,352,12,3,0.26,573,343,0.6,120,90,0.72,48,46,1469,150,136,780,502,34,82,Deandre,Ayton,deandre ayton,deandre,ayton,TRUE
Kelenna Azubuike,46,21,114,103,42,0.39,350,160,0.45,95,73,0.6,42,17,1005,51,82,436,166,26,41,Kelenna,Azubuike,kelenna azubuike,kelenna,azubuike,FALSE
Udoka Azubuike,0,8,31,0,0,0,29,20,0.6,10,7,0.67,16,3,126,11,17,48,42,0,8,Udoka,Azubuike,udoka azubuike,udoka,azubuike,TRUE
Chris Babb,3,0,13,27,6,0.22,30,8,0.27,0,0,0,14,0,132,4,13,22,17,6,3,Chris,Babb,chris babb,chris,babb,FALSE
Luke Babbitt,26,6,82,114,45,0.37,181,74,0.39,19,14,0.65,43,12,605,12,57,208,94,10,18,Luke,Babbitt,luke babbitt,luke,babbitt,FALSE
Milos Babic,5,1,6,0,0,0,16,6,0.39,10,6,0.67,10,0,44,4,4,18,10,0,5,Milos,Babic,milos babic,milos,babic,FALSE
Dwayne Bacon,58,4,120,101,32,0.32,355,143,0.4,75,58,0.76,52,20,1003,14,68,376,134,24,31,Dwayne,Bacon,dwayne bacon,dwayne,bacon,FALSE
Dalibor Bagaric,12,14,51,1,0,0,90,32,0.32,34,19,0.6,32,0,324,28,54,84,79,10,24,Dalibor,Bagaric,dalibor bagaric,dalibor,bagaric,FALSE
John Bagley,362,5,120,43,10,0.14,491,214,0.39,113,88,0.8,60,36,1556,38,99,527,157,69,137,John,Bagley,john bagley,john,bagley,FALSE
